,region,genes
2197,chr1-149295753-149295935,Pla2g4a (+665446)
2198,chr1-149332245-149332446,Pla2g4a (+628944)
2199,chr1-149685569-149685927,Pla2g4a (+275542)
2200,chr1-149749484-149750098,Pla2g4a (+211499)
2201,chr1-149758484-149759031,Pla2g4a (+202532)
2202,chr1-149832877-149833401,Pla2g4a (+128151)
2203,chr1-149846678-149847296,Pla2g4a (+114303)
2204,chr1-149856676-149857125,Pla2g4a (+104389)
2205,chr1-149862729-149863295,Pla2g4a (+98278)
2206,chr1-149890989-149891629,Pla2g4a (+69981)
2207,chr1-149902170-149902428,Pla2g4a (+58991)
2208,chr1-149905799-149905979,Pla2g4a (+55401)
2209,chr1-149939762-149940923,Pla2g4a (+20947)
2210,chr1-149946980-149947396,Pla2g4a (+14102)
2211,chr1-149948395-149948608,Pla2g4a (+12788)
2212,chr1-149960849-149961676,Pla2g4a (+27)
2213,chr1-150058699-150058854,"Pla2g4a (-97487), Ptgs2 (-41254)"
2215,chr1-150089129-150089339,"Pla2g4a (-127944), Ptgs2 (-10797)"
2510,chr1-152768163-152768430,"Ncf2 (-31897), Arpc5 (+1755)"
2511,chr1-152779002-152779612,"Ncf2 (-20887), Arpc5 (+12765)"
2512,chr1-152790114-152791606,"Ncf2 (-9334), Arpc5 (+24318)"
2513,chr1-152798109-152798754,Ncf2 (-1762)
2514,chr1-152799959-152800421,Ncf2 (-4)
2515,chr1-152807578-152807944,"Ncf2 (+7567), Smg7 (+70407)"
2516,chr1-152809542-152810270,"Ncf2 (+9712), Smg7 (+68262)"
2517,chr1-152815241-152815469,"Ncf2 (+15161), Smg7 (+62813)"
2518,chr1-152817093-152818209,"Ncf2 (+17457), Smg7 (+60517)"
2519,chr1-152818429-152818519,"Ncf2 (+18280), Smg7 (+59694)"
2520,chr1-152820852-152821135,"Ncf2 (+20800), Smg7 (+57174)"
2521,chr1-152829834-152830019,"Ncf2 (+29733), Smg7 (+48241)"
2522,chr1-152838304-152838711,"Ncf2 (+38314), Smg7 (+39660)"
2523,chr1-152849820-152849927,"Smg7 (+28294), Ncf2 (+49680)"
3765,chr1-167692217-167692318,"Lmx1a (+2711), Pbx1 (+739629)"
3766,chr1-167692785-167692902,"Lmx1a (+3287), Pbx1 (+739053)"
3767,chr1-167723515-167723808,"Lmx1a (+34105), Pbx1 (+708235)"
3768,chr1-167757104-167757427,"Lmx1a (+67709), Pbx1 (+674631)"
3769,chr1-167782055-167782672,"Lmx1a (+92807), Pbx1 (+649533)"
3770,chr1-167802466-167804047,"Lmx1a (+113700), Pbx1 (+628640)"
3771,chr1-167815900-167816061,"Lmx1a (+126424), Pbx1 (+615916)"
3772,chr1-167822413-167822867,"Lmx1a (+133083), Pbx1 (+609257)"
3773,chr1-167840518-167840966,"Lmx1a (+151185), Pbx1 (+591155)"
3774,chr1-167851813-167852232,"Lmx1a (+162466), Pbx1 (+579874)"
3775,chr1-167854578-167855101,"Lmx1a (+165283), Pbx1 (+577057)"
3776,chr1-167874308-167874887,"Lmx1a (+185041), Pbx1 (+557299)"
3777,chr1-167888772-167889149,"Lmx1a (+199404), Pbx1 (+542936)"
3778,chr1-167896275-167896715,"Lmx1a (+206938), Pbx1 (+535402)"
3779,chr1-167915042-167915555,"Lmx1a (+225742), Pbx1 (+516598)"
3780,chr1-167928081-167928176,"Lmx1a (+238572), Pbx1 (+503768)"
3781,chr1-167929687-167930316,"Lmx1a (+240445), Pbx1 (+501895)"
3783,chr1-167942060-167943045,"Lmx1a (+252996), Pbx1 (+489344)"
3785,chr1-168056526-168056820,"Lmx1a (+367116), Pbx1 (+375224)"
3786,chr1-168093199-168093332,"Pbx1 (+338631), Lmx1a (+403709)"
3787,chr1-168163596-168163984,"Pbx1 (+268107), Lmx1a (+474233)"
3788,chr1-168164431-168165541,"Pbx1 (+266911), Lmx1a (+475429)"
3789,chr1-168191909-168192533,"Pbx1 (+239676), Lmx1a (+502664)"
3790,chr1-168193126-168193367,"Pbx1 (+238650), Lmx1a (+503690)"
3791,chr1-168214173-168214801,"Pbx1 (+217410), Lmx1a (+524930)"
3792,chr1-168230154-168230448,"Pbx1 (+201596), Lmx1a (+540744)"
3793,chr1-168231108-168231404,"Pbx1 (+200641), Lmx1a (+541699)"
3794,chr1-168231665-168231947,"Pbx1 (+200091), Lmx1a (+542249)"
3795,chr1-168232472-168232668,"Pbx1 (+199327), Lmx1a (+543013)"
3796,chr1-168238425-168238667,"Pbx1 (+193351), Lmx1a (+548989)"
3797,chr1-168241609-168241803,"Pbx1 (+190191), Lmx1a (+552149)"
3798,chr1-168265670-168266222,"Pbx1 (+165951), Lmx1a (+576389)"
3799,chr1-168268271-168268505,"Pbx1 (+163509), Lmx1a (+578831)"
3800,chr1-168283495-168284119,"Pbx1 (+148090), Lmx1a (+594250)"
3801,chr1-168284726-168285080,"Pbx1 (+146994), Lmx1a (+595346)"
3802,chr1-168287821-168288665,"Pbx1 (+143654), Lmx1a (+598686)"
3803,chr1-168288928-168289097,"Pbx1 (+142884), Lmx1a (+599456)"
3804,chr1-168307291-168307577,"Pbx1 (+124463), Lmx1a (+617877)"
3805,chr1-168307858-168308193,"Pbx1 (+123871), Lmx1a (+618469)"
3806,chr1-168308428-168308531,"Pbx1 (+123417), Lmx1a (+618923)"
3807,chr1-168313251-168313360,"Pbx1 (+118591), Lmx1a (+623749)"
3808,chr1-168323045-168323390,"Pbx1 (+108679), Lmx1a (+633661)"
3809,chr1-168335251-168335676,"Pbx1 (+96433), Lmx1a (+645907)"
3810,chr1-168355050-168355213,"Pbx1 (+76765), Lmx1a (+665575)"
3811,chr1-168357008-168358079,"Pbx1 (+74353), Lmx1a (+667987)"
3812,chr1-168362494-168362599,"Pbx1 (+69350), Lmx1a (+672990)"
3813,chr1-168367642-168368179,"Pbx1 (+63986), Lmx1a (+678354)"
3814,chr1-168374991-168375460,"Pbx1 (+56671), Lmx1a (+685669)"
3815,chr1-168376439-168376640,"Pbx1 (+55357), Lmx1a (+686983)"
3816,chr1-168382245-168383241,"Pbx1 (+49154), Lmx1a (+693186)"
3817,chr1-168384370-168384877,"Pbx1 (+47273), Lmx1a (+695067)"
3818,chr1-168390591-168391041,"Pbx1 (+41081), Lmx1a (+701259)"
3819,chr1-168392186-168392465,"Pbx1 (+39571), Lmx1a (+702769)"
3820,chr1-168402697-168402798,"Pbx1 (+29149), Lmx1a (+713191)"
3821,chr1-168405980-168406533,"Pbx1 (+25640), Lmx1a (+716700)"
3822,chr1-168410094-168410300,"Pbx1 (+21700), Lmx1a (+720640)"
3823,chr1-168416312-168417412,"Pbx1 (+15035), Lmx1a (+727305)"
3824,chr1-168431135-168432762,Pbx1 (-52)
3825,chr1-168476201-168476490,Pbx1 (-44449)
3826,chr1-168478765-168479090,Pbx1 (-47031)
3827,chr1-168479516-168479703,Pbx1 (-47713)
3828,chr1-168483738-168483894,Pbx1 (-51919)
3829,chr1-168526398-168526660,Pbx1 (-94632)
3830,chr1-168549472-168550059,"Pbx1 (-117869), Nuf2 (+981698)"
3832,chr1-168568932-168569361,"Pbx1 (-137250), Nuf2 (+962317)"
3833,chr1-168597664-168598669,"Pbx1 (-166270), Nuf2 (+933297)"
3834,chr1-168708411-168709464,"Pbx1 (-277041), Nuf2 (+822526)"
3835,chr1-168784658-168784928,"Pbx1 (-352896), Nuf2 (+746671)"
3836,chr1-168865627-168866304,"Pbx1 (-434069), Nuf2 (+665498)"
3837,chr1-168885020-168885194,"Pbx1 (-453210), Nuf2 (+646357)"
3838,chr1-168951087-168951449,"Pbx1 (-519371), Nuf2 (+580196)"
3839,chr1-168969331-168969733,"Pbx1 (-537635), Nuf2 (+561932)"
3840,chr1-169001851-169002153,"Pbx1 (-570105), Nuf2 (+529462)"
3841,chr1-169007619-169008250,"Pbx1 (-576038), Nuf2 (+523529)"
3842,chr1-169051486-169051834,"Pbx1 (-619763), Nuf2 (+479804)"
3843,chr1-169096252-169097197,"Pbx1 (-664828), Nuf2 (+434739)"
3844,chr1-169138770-169139102,"Pbx1 (-707039), Nuf2 (+392528)"
3845,chr1-169140115-169140384,"Pbx1 (-708353), Nuf2 (+391214)"
3846,chr1-169152839-169153185,"Pbx1 (-721115), Nuf2 (+378452)"
3847,chr1-169227555-169227790,"Pbx1 (-795776), Nuf2 (+303791)"
3848,chr1-169235385-169235689,"Pbx1 (-803640), Nuf2 (+295927)"
3849,chr1-169238243-169239039,"Pbx1 (-806744), Nuf2 (+292823)"
3850,chr1-169254605-169254808,"Pbx1 (-822810), Nuf2 (+276757)"
3851,chr1-169338389-169338768,"Pbx1 (-906682), Nuf2 (+192885)"
3852,chr1-169347835-169347994,"Pbx1 (-916018), Nuf2 (+183549)"
3853,chr1-169351113-169351298,"Pbx1 (-919309), Nuf2 (+180258)"
3854,chr1-169354120-169354261,"Pbx1 (-922294), Nuf2 (+177273)"
3855,chr1-169368109-169369245,"Pbx1 (-936780), Nuf2 (+162787)"
3856,chr1-169382439-169382661,"Pbx1 (-950653), Nuf2 (+148914)"
3857,chr1-169395709-169396035,"Pbx1 (-963975), Nuf2 (+135592)"
3859,chr1-169422559-169422726,"Pbx1 (-990746), Nuf2 (+108821)"
3980,chr1-171033829-171034098,"Fcgr4 (+15044), Fcgr3 (+25439)"
3981,chr1-171036584-171037386,"Fcgr4 (+18065), Fcgr3 (+22418)"
3982,chr1-171037888-171038694,"Fcgr4 (+19371), Fcgr3 (+21112)"
3983,chr1-171039289-171039393,"Fcgr3 (+20062), Fcgr4 (+20421)"
3984,chr1-171044282-171045432,"Fcgr3 (+14546), Fcgr4 (+25937)"
3985,chr1-171050799-171051130,"Fcgr3 (+8438), Fcgr4 (+32045)"
3986,chr1-171060383-171060691,Fcgr3 (-1134)
3987,chr1-171063814-171066053,"Cfap126 (-56727), Fcgr3 (-5531)"
3988,chr1-171066538-171066920,"Cfap126 (-54932), Fcgr3 (-7326)"
3989,chr1-171071754-171073517,"Cfap126 (-49025), Fcgr3 (-13233)"
3990,chr1-171074218-171074612,"Cfap126 (-47246), Fcgr3 (-15012)"
3991,chr1-171081620-171082182,"Cfap126 (-39760), Fcgr3 (-22498)"
3992,chr1-171085601-171085723,"Cfap126 (-35999), Fcgr3 (-26259)"
3993,chr1-171088349-171088877,"Cfap126 (-33048), Fcgr3 (-29210)"
3994,chr1-171096223-171096720,"Fcgr3 (-37069), Cfap126 (-25189)"
3995,chr1-171101795-171103477,"Fcgr3 (-43233), Cfap126 (-19025)"
3996,chr1-171110843-171112282,"Fcgr3 (-52160), Cfap126 (-10098)"
3997,chr1-171113787-171114329,"Fcgr3 (-54655), Cfap126 (-7603)"
4015,chr1-171220920-171221289,"Apoa2 (-3949), Tomm40l (+1409)"
4016,chr1-171222174-171223048,"Apoa2 (-2443), Tomm40l (-97)"
4018,chr1-171231652-171232520,"Fcer1g (+2279), Apoa2 (+7032)"
4019,chr1-171237529-171237766,Fcer1g (-3283)
4020,chr1-171238563-171238754,Fcer1g (-4294)
4080,chr1-171699106-171699286,"Slamf1 (-67931), Cd48 (+17186)"
4081,chr1-171704106-171704593,"Slamf1 (-62777), Cd48 (+22340)"
4082,chr1-171761733-171762147,"Slamf1 (-5187), Cd48 (+79930)"
4083,chr1-171766895-171767284,Slamf1 (-37)
4084,chr1-171815623-171816334,"Cd84 (-23718), Slamf1 (+48852)"
4085,chr1-171825543-171825710,"Cd84 (-14070), Slamf1 (+58500)"
4086,chr1-171826250-171826460,"Cd84 (-13342), Slamf1 (+59228)"
4087,chr1-171827804-171828051,"Cd84 (-11769), Slamf1 (+60801)"
4678,chr1-180496109-180496488,"Parp1 (-72630), Stum (-12832)"
4679,chr1-180510434-180510787,"Parp1 (-58318), Stum (-27144)"
4680,chr1-180517703-180518109,"Parp1 (-51023), Stum (-34439)"
4681,chr1-180518542-180518702,"Parp1 (-50307), Stum (-35155)"
4682,chr1-180528214-180528758,"Stum (-45019), Parp1 (-40443)"
4683,chr1-180536583-180537223,"Stum (-53436), Parp1 (-32026)"
4684,chr1-180541350-180542022,"Stum (-58219), Parp1 (-27243)"
4685,chr1-180547601-180548372,"Stum (-64520), Parp1 (-20942)"
4686,chr1-180548687-180548842,"Stum (-65298), Parp1 (-20164)"
4687,chr1-180550753-180551253,"Stum (-67536), Parp1 (-17926)"
4688,chr1-180561301-180561640,"Stum (-78004), Parp1 (-7458)"
4689,chr1-180568435-180569808,Parp1 (+193)
4691,chr1-180604497-180604830,"Lin9 (-36486), Parp1 (+35735)"
4692,chr1-180606175-180606421,"Lin9 (-34852), Parp1 (+37369)"
4693,chr1-180607611-180607706,"Lin9 (-33491), Parp1 (+38730)"
4694,chr1-180627567-180628270,"Lin9 (-13231), Parp1 (+58990)"
5478,chr1-189375967-189376234,"Kcnk2 (-32746), Cenpf (+311985)"
5479,chr1-189403341-189403729,"Kcnk2 (-60180), Cenpf (+284551)"
5480,chr1-189430558-189430849,"Kcnk2 (-87349), Cenpf (+257382)"
5481,chr1-189473058-189473612,"Kcnk2 (-129980), Cenpf (+214751)"
5482,chr1-189478136-189478452,"Kcnk2 (-134939), Cenpf (+209792)"
5483,chr1-189495936-189496189,"Kcnk2 (-152708), Cenpf (+192023)"
5484,chr1-189528659-189529020,"Kcnk2 (-185485), Cenpf (+159246)"
5485,chr1-189542167-189542420,"Kcnk2 (-198939), Cenpf (+145792)"
5486,chr1-189550990-189551248,"Kcnk2 (-207764), Cenpf (+136967)"
5487,chr1-189551489-189551903,"Kcnk2 (-208341), Cenpf (+136390)"
5488,chr1-189560526-189560822,"Kcnk2 (-217319), Cenpf (+127412)"
5489,chr1-189566588-189567103,"Kcnk2 (-223491), Cenpf (+121240)"
5490,chr1-189567345-189567563,"Kcnk2 (-224099), Cenpf (+120632)"
5491,chr1-189575934-189577059,"Kcnk2 (-233142), Cenpf (+111589)"
5492,chr1-189579490-189579636,"Kcnk2 (-236208), Cenpf (+108523)"
5493,chr1-189589837-189590123,"Kcnk2 (-246625), Cenpf (+98106)"
5494,chr1-189607664-189608211,"Kcnk2 (-264583), Cenpf (+80148)"
5495,chr1-189628049-189628672,"Kcnk2 (-285006), Cenpf (+59725)"
5496,chr1-189644933-189645231,"Kcnk2 (-301727), Cenpf (+43004)"
5497,chr1-189645477-189645626,"Kcnk2 (-302197), Cenpf (+42534)"
5498,chr1-189646710-189646829,"Kcnk2 (-303415), Cenpf (+41316)"
5499,chr1-189648649-189648972,"Kcnk2 (-305456), Cenpf (+39275)"
5500,chr1-189651105-189651370,"Kcnk2 (-307883), Cenpf (+36848)"
5501,chr1-189661736-189662120,"Kcnk2 (-318573), Cenpf (+26158)"
5502,chr1-189675523-189675779,"Kcnk2 (-332296), Cenpf (+12435)"
5503,chr1-189687757-189688712,Cenpf (-149)
5504,chr1-189700217-189700675,"Ptpn14 (-27822), Cenpf (-12360)"
5505,chr1-189701120-189701409,"Ptpn14 (-27003), Cenpf (-13179)"
5506,chr1-189702086-189702258,"Ptpn14 (-26096), Cenpf (-14086)"
5507,chr1-189706354-189706516,"Ptpn14 (-21833), Cenpf (-18349)"
5508,chr1-189707061-189707280,"Ptpn14 (-21097), Cenpf (-19085)"
5509,chr1-189707659-189707773,"Ptpn14 (-20552), Cenpf (-19630)"
5510,chr1-189708667-189709255,"Cenpf (-20875), Ptpn14 (-19307)"
5511,chr1-189716076-189716814,"Cenpf (-28359), Ptpn14 (-11823)"
5549,chr1-189927625-189928249,"Smyd2 (-5574), Prox1 (+242777)"
5550,chr1-189933460-189934105,"Smyd2 (-11420), Prox1 (+236931)"
5551,chr1-189938976-189939252,"Smyd2 (-16751), Prox1 (+231600)"
5552,chr1-189945952-189946728,"Smyd2 (-23977), Prox1 (+224374)"
5553,chr1-189968070-189968371,"Smyd2 (-45858), Prox1 (+202493)"
5554,chr1-189972965-189973358,"Smyd2 (-50799), Prox1 (+197552)"
5555,chr1-189989434-189989587,"Smyd2 (-67148), Prox1 (+181203)"
5556,chr1-189990243-189990342,"Smyd2 (-67930), Prox1 (+180421)"
5557,chr1-189993916-189994265,"Smyd2 (-71728), Prox1 (+176623)"
5558,chr1-190001053-190001199,"Smyd2 (-78763), Prox1 (+169588)"
5559,chr1-190006642-190007164,"Smyd2 (-84540), Prox1 (+163811)"
5560,chr1-190017878-190018898,"Smyd2 (-96025), Prox1 (+152326)"
5561,chr1-190025733-190025966,"Smyd2 (-103487), Prox1 (+144864)"
5562,chr1-190027032-190027823,"Smyd2 (-105065), Prox1 (+143286)"
5563,chr1-190032745-190033064,"Smyd2 (-110542), Prox1 (+137809)"
5564,chr1-190034507-190034604,"Smyd2 (-112193), Prox1 (+136158)"
5565,chr1-190037602-190038764,"Smyd2 (-115820), Prox1 (+132531)"
5566,chr1-190044752-190045201,"Smyd2 (-122614), Prox1 (+125737)"
5567,chr1-190045907-190046119,"Smyd2 (-123650), Prox1 (+124701)"
5568,chr1-190056032-190056262,"Smyd2 (-133784), Prox1 (+114567)"
5569,chr1-190061869-190062301,"Smyd2 (-139722), Prox1 (+108629)"
5570,chr1-190067131-190068024,"Smyd2 (-145215), Prox1 (+103136)"
5571,chr1-190073126-190073688,"Smyd2 (-151044), Prox1 (+97307)"
5572,chr1-190080577-190081106,"Smyd2 (-158479), Prox1 (+89872)"
5573,chr1-190088582-190088756,"Smyd2 (-166306), Prox1 (+82045)"
5574,chr1-190089007-190089256,"Smyd2 (-166769), Prox1 (+81582)"
5575,chr1-190106510-190107477,"Smyd2 (-184631), Prox1 (+63720)"
