,0,1,2,3,4,5,6,7,8,9,10,11,12,13
5047,chr1,25802674,25803174,+,0,,"intron,(NM_018202,,intron,6,of,10)",45575,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5048,chr1,25803842,25804342,+,0,,"intron,(NM_018202,,intron,6,of,10)",46743,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5049,chr1,25811893,25812393,+,0,,"exon,(NM_018202,,exon,8,of,11)",54794,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5050,chr1,25813020,25813520,+,0,,"intron,(NM_001282564,,intron,6,of,8)",55921,NM_018202,55219,Hs.189782,NM_018202,TMEM57,"transmembrane,protein,57"
5196,chr1,26215907,26216407,+,0,,"intron,(NM_001145454,,intron,4,of,4)",16487,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5197,chr1,26219611,26220111,+,0,,"intron,(NM_001145454,,intron,4,of,4)",12783,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5198,chr1,26220606,26221106,+,0,,"intron,(NM_001145454,,intron,4,of,4)",11788,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5199,chr1,26221798,26222298,+,0,,"intron,(NM_001145454,,intron,4,of,4)",10596,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5200,chr1,26222344,26222844,+,0,,"intron,(NM_001145454,,intron,4,of,4)",10050,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5201,chr1,26222907,26223407,+,0,,"intron,(NM_001145454,,intron,4,of,4)",9487,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5202,chr1,26223890,26224390,+,0,,"intron,(NM_001145454,,intron,4,of,4)",8504,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5203,chr1,26224667,26225167,+,0,,"intron,(NM_001145454,,intron,4,of,4)",7727,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5204,chr1,26231443,26231943,+,0,,"intron,(NM_203399,,intron,1,of,4)",951,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5205,chr1,26232160,26232660,+,0,,"TTS,(NR_037481)",234,NM_203401,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5206,chr1,26232729,26233229,+,0,,"promoter-TSS,(NM_203401)",14,NM_001145454,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5207,chr1,26233250,26233750,+,0,,"promoter-TSS,(NM_203399)",-132,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5208,chr1,26244400,26244900,+,0,,Intergenic,-11282,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5209,chr1,26248988,26249488,+,0,,Intergenic,-15870,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5210,chr1,26249810,26250310,+,0,,Intergenic,-16692,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5211,chr1,26250908,26251408,+,0,,Intergenic,-17790,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5212,chr1,26253997,26254497,+,0,,Intergenic,-20879,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5213,chr1,26257953,26258453,+,0,,Intergenic,-24835,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5214,chr1,26259830,26260330,+,0,,Intergenic,-26712,NM_203399,3925,Hs.209983,NM_005563,STMN1,"stathmin,1"
5930,chr1,28808660,28809160,+,0,,"intron,(NM_023923,,intron,8,of,12)",-23545,NR_030725,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5931,chr1,28821216,28821716,+,0,,"intron,(NM_023923,,intron,12,of,12)",-10989,NR_030725,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5932,chr1,28827461,28827961,+,0,,"TTS,(NM_001048183)",-4744,NR_030725,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5933,chr1,28832192,28832692,+,0,,"promoter-TSS,(NR_036473)",-13,NR_030725,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5940,chr1,28838491,28838991,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-6004,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5941,chr1,28839040,28839540,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-5455,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5942,chr1,28839914,28840414,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-4581,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5943,chr1,28840450,28840950,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-4045,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5944,chr1,28841132,28841632,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-3363,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5945,chr1,28841641,28842141,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-2854,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5946,chr1,28842485,28842985,+,0,,"intron,(NM_001048199,,intron,3,of,11)",-2010,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5947,chr1,28843250,28843750,+,0,,"intron,(NR_030725,,intron,4,of,12)",-1245,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5948,chr1,28843976,28844476,+,0,,"promoter-TSS,(NM_001048195)",-519,NM_001269,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5949,chr1,28844564,28845064,+,0,,"promoter-TSS,(NM_001048195)",69,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5950,chr1,28845314,28845814,+,0,,"intron,(NM_001269,,intron,1,of,9)",819,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5951,chr1,28845859,28846359,+,0,,"intron,(NM_001269,,intron,1,of,9)",1364,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5952,chr1,28848186,28848686,+,0,,"intron,(NM_001269,,intron,1,of,9)",3691,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5953,chr1,28851487,28851987,+,0,,"intron,(NM_001269,,intron,1,of,9)",6992,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
5954,chr1,28861184,28861684,+,0,,"intron,(NM_001048199,,intron,6,of,11)",16689,NM_001048195,1104,Hs.469723,NM_001269,RCC1,"regulator,of,chromosome,condensation,1"
6860,chr1,33703041,33703541,+,0,,Intergenic,-18883,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6861,chr1,33713821,33714321,+,0,,Intergenic,-8103,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6862,chr1,33721009,33721509,+,0,,"promoter-TSS,(NM_152493)",-915,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6863,chr1,33721912,33722412,+,0,,"promoter-TSS,(NM_152493)",-12,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6864,chr1,33723754,33724254,+,0,,"intron,(NM_152493,,intron,1,of,8)",1830,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6865,chr1,33732207,33732707,+,0,,"intron,(NM_152493,,intron,1,of,8)",10283,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6866,chr1,33736170,33736670,+,0,,"intron,(NM_152493,,intron,2,of,8)",14246,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6867,chr1,33737544,33738044,+,0,,"intron,(NM_152493,,intron,2,of,8)",15620,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6868,chr1,33738058,33738558,+,0,,"intron,(NM_152493,,intron,2,of,8)",16134,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6869,chr1,33738985,33739485,+,0,,"intron,(NM_152493,,intron,2,of,8)",17061,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
6870,chr1,33740629,33741129,+,0,,"intron,(NM_152493,,intron,2,of,8)",18705,NM_152493,149076,Hs.743358,NM_152493,ZNF362,"zinc,finger,protein,362"
7606,chr1,39443329,39443829,+,0,,Intergenic,-13337,NM_024595,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7607,chr1,39454249,39454749,+,0,,Intergenic,-2417,NM_024595,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7608,chr1,39456030,39456530,+,0,,"promoter-TSS,(NM_024595)",-636,NM_024595,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7609,chr1,39456639,39457139,+,0,,"promoter-TSS,(NM_024595)",-27,NM_024595,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7610,chr1,39457197,39457697,+,0,,"intron,(NM_001136275,,intron,1,of,3)",531,NM_001136275,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7611,chr1,39457975,39458475,+,0,,"intron,(NM_001136275,,intron,1,of,3)",1309,NM_001136275,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7612,chr1,39462219,39462719,+,0,,"intron,(NM_001136275,,intron,1,of,3)",5553,NM_001136275,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7613,chr1,39463502,39464002,+,0,,"intron,(NM_001136275,,intron,1,of,3)",6836,NM_001136275,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
7614,chr1,39469308,39469808,+,0,,"intron,(NM_001136275,,intron,3,of,3)",12642,NM_001136275,79647,Hs.293563,NM_024595,AKIRIN1,"akirin,1"
8384,chr1,42725033,42725533,+,0,,"intron,(NM_014947,,intron,4,of,12)",75353,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8385,chr1,42730206,42730706,+,0,,"intron,(NM_014947,,intron,4,of,12)",70180,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8386,chr1,42738466,42738966,+,0,,"intron,(NM_014947,,intron,3,of,12)",61920,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8387,chr1,42748468,42748968,+,0,,"intron,(NM_014947,,intron,2,of,12)",51918,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8388,chr1,42764115,42764615,+,0,,"intron,(NM_014947,,intron,2,of,12)",36271,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8389,chr1,42780091,42780591,+,0,,"intron,(NM_001198850,,intron,1,of,12)",20295,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8390,chr1,42782915,42783415,+,0,,"intron,(NM_001198851,,intron,2,of,14)",17471,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8391,chr1,42785378,42785878,+,0,,"intron,(NM_001198851,,intron,2,of,14)",15008,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8392,chr1,42788186,42788686,+,0,,"intron,(NM_001198851,,intron,2,of,14)",12200,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8393,chr1,42788940,42789440,+,0,,"intron,(NM_001198851,,intron,2,of,14)",11446,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8394,chr1,42790073,42790573,+,0,,"intron,(NM_001198851,,intron,1,of,14)",10313,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8395,chr1,42799598,42800098,+,0,,"intron,(NM_001198851,,intron,1,of,14)",788,NM_001198851,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8396,chr1,42800575,42801075,+,0,,"promoter-TSS,(NM_001198852)",61,NM_001198852,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8397,chr1,42801167,42801667,+,0,,"promoter-TSS,(NM_001198852)",131,NM_001198850,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8398,chr1,42809832,42810332,+,0,,Intergenic,-8534,NM_001198850,22887,Hs.26023,NM_014947,FOXJ3,"forkhead,box,J3"
8739,chr1,44424003,44424503,+,0,,"exon,(NM_014652,,exon,10,of,20)",-11400,NM_001384,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
8740,chr1,44428532,44429032,+,0,,"intron,(NM_014652,,intron,14,of,19)",-6871,NM_001384,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
8741,chr1,44432987,44433487,+,0,,"intron,(NM_014652,,intron,19,of,19)",-2416,NM_001384,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
8742,chr1,44433978,44434478,+,0,,"TTS,(NM_014652)",-1425,NM_001384,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
8743,chr1,44435341,44435841,+,0,,"promoter-TSS,(NM_001384)",-62,NM_001384,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
8744,chr1,44437238,44437738,+,0,,"exon,(NM_001384,,exon,4,of,6)",1835,NM_001039589,1802,Hs.632398,NM_001384,DPH2,"DPH2,homolog,(S.,cerevisiae)"
11233,chr1,59214406,59214906,+,0,,Intergenic,35129,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11234,chr1,59214975,59215475,+,0,,Intergenic,34560,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11235,chr1,59215861,59216361,+,0,,Intergenic,33674,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11236,chr1,59219887,59220387,+,0,,Intergenic,29648,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11237,chr1,59220521,59221021,+,0,,Intergenic,29014,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11238,chr1,59221069,59221569,+,0,,Intergenic,28466,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11239,chr1,59229765,59230265,+,0,,Intergenic,19770,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11240,chr1,59231064,59231564,+,0,,Intergenic,18471,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11241,chr1,59234856,59235356,+,0,,Intergenic,14679,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11242,chr1,59238938,59239438,+,0,,Intergenic,10597,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11243,chr1,59239642,59240142,+,0,,Intergenic,9893,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11244,chr1,59244324,59244824,+,0,,Intergenic,5211,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11245,chr1,59245159,59245659,+,0,,Intergenic,4376,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11246,chr1,59246119,59246619,+,0,,"TTS,(NM_002228)",3416,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
11247,chr1,59246917,59247417,+,0,,"3',UTR,(NM_002228,,exon,1,of,1)",2618,NM_002228,3725,Hs.696684,NM_002228,JUN,"jun,proto-oncogene"
